Store ID,Scenario,Product,Product_Name,ProductID,Entity Found,Submit Status,MissingChannels
KFC Frenchs Forest,Delivery 1,OLD Products,3 Wicked Wings®,30017,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Regular Gravy,30052,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Regular Coleslaw,30053,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Dinner Roll,30054,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Dinner Roll,31007,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Regular Potato & Gravy,30057,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Go Bucket® 2 Wicked Wings®,30089,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Go Bucket® Popcorn Chicken®,30090,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Go Bucket® 3 Nuggets,30092,YES,Success,
KFC Frenchs Forest,Delivery 1,OLD Products,Large Potato & Gravy,30095,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,3 Wicked Wings®,30017,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Regular Gravy,30052,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Regular Coleslaw,30053,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Dinner Roll,30054,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Dinner Roll,31007,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Regular Potato & Gravy,30057,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Go Bucket® 2 Wicked Wings®,30089,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Go Bucket® Popcorn Chicken®,30090,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Go Bucket® 3 Nuggets,30092,YES,Success,
KFC Frenchs Forest,Delivery 2,OLD Items,Large Potato & Gravy,30095,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Zinger® Burger,32879,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Zinger® Burger Combo,32880,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Double Tender™ Burger,32886,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Zinger® Bacon & Cheese Burger,32887,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Zinger® Crunch Burger™,32888,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Original Crispy Burger,32889,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Original Crispy Bacon & Cheese Burger,32890,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Original Crispy BBQ Bacon Stacker® Burger,32891,YES,Success,
KFC Frenchs Forest,Delivery 3,NEW products,Zinger Stacker® Burger,32892,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Zinger® Burger,32879,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Zinger® Burger Combo,32880,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Double Tender™ Burger,32886,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Zinger® Bacon & Cheese Burger,32887,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Zinger® Crunch Burger™,32888,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Original Crispy Burger,32889,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Original Crispy Bacon & Cheese Burger,32890,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Original Crispy BBQ Bacon Stacker® Burger,32891,YES,Success,
KFC Frenchs Forest,Delivery 4,NEW Items,Zinger Stacker® Burger,32892,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Zinger® Burger,32879,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Zinger® Burger Combo,32880,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Double Tender™ Burger,32886,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Zinger® Bacon & Cheese Burger,32887,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Zinger® Crunch Burger™,32888,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Original Crispy Burger,32889,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Original Crispy Bacon & Cheese Burger,32890,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Original Crispy BBQ Bacon Stacker® Burger,32891,YES,Success,
KFC Frenchs Forest,Delivery 5,NEW products,Zinger Stacker® Burger,32892,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Zinger® Burger,32879,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Zinger® Burger Combo,32880,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Double Tender™ Burger,32886,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Zinger® Bacon & Cheese Burger,32887,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Zinger® Crunch Burger™,32888,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Original Crispy Burger,32889,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Original Crispy Bacon & Cheese Burger,32890,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Original Crispy BBQ Bacon Stacker® Burger,32891,YES,Success,
KFC Frenchs Forest,Delivery 6,NEW products,Zinger Stacker® Burger,32892,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Zinger® Burger,32879,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Zinger® Burger Combo,32880,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Double Tender™ Burger,32886,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Zinger® Bacon & Cheese Burger,32887,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Zinger® Crunch Burger™,32888,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Original Crispy Burger,32889,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Original Crispy Bacon & Cheese Burger,32890,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Original Crispy BBQ Bacon Stacker® Burger,32891,YES,Success,
KFC Frenchs Forest,Delivery 7,NEW Items,Zinger Stacker® Burger,32892,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Zinger® Burger,32879,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Zinger® Burger Combo,32880,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Double Tender™ Burger,32886,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Zinger® Bacon & Cheese Burger,32887,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Zinger® Crunch Burger™,32888,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Original Crispy Burger,32889,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Original Crispy Bacon & Cheese Burger,32890,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Original Crispy BBQ Bacon Stacker® Burger,32891,YES,Success,
KFC Frenchs Forest,Delivery 8,NEW Items,Zinger Stacker® Burger,32892,YES,Success,
